word,meaning,commentary,example,example_meaning,Wordtype
bye,さよなら,バイ(クリケットで打者が打たない球が守備者を通り越した場合の得点),"By the bye, how he ever knew that,
","時に 、 どうして あの 人 が そんな 事 を 知っ て いる ん だろ う ね ？ 　
",TSL
caller,呼び出し側,訪問客　来訪者　呼ぶ人(物)　(スクエアダンスで)ステップを大声で指示する人,He was besieged by callers.,彼は来客攻めにあった。,TSL
careless,不注意な,"(人が)『哀注意な』,軽率な 
《補語にのみ用いて》(…に)『無とんじゃくな』,無関心な,(…を)気にしない《+『of』+『名』(『wh-節』)》 
《名詞の前にのみ用いて》(仕事などが)『不注意な』,不用意な",A careless person is apt to make mistakes.,不注意な人間は過ちを犯しがちである。,TSL
carrier,運搬人；運送業者；使者,"『運搬する人』;輸送業者(会社) 
運搬する物,運客車;運客設備 
(…の)媒介体,保菌者《+『of』+『名』》 
(また『aircraft carrier』)航空母艦 
(自転車・車の)荷台","Written words, carrier pigeons, the telegraph, and many other devices carried ideas faster and faster from man to man.",文字、伝書鳩、電信、その他多くの方法で、情報はますます速く人から人へと伝えられるようになった。,TSL
cleaner,【名/C】掃除機；《The ~s》クリーニング屋（店）；クリーニングする人；清掃作業員；洗剤,【名/C】掃除機；《The ~s》クリーニング屋（店）；クリーニングする人；清掃作業員；洗剤,He demonstrated new vacuum cleaners.,彼は新型の掃除機の実物を見せて説明した。,TSL
cleanliness,清潔,きれい好き;清潔,Cleanliness is proper to the Japanese.,清潔は日本人の習性だ。,TSL
collector,収集者；集金人,"(…の)収集家,採集者《+『of』+『名』》 
(…の)集金人,取り立て人;徴税官;(一般に)(…を)集める人《+『of』+『名』》",Don't tell me it was really a demand for money from debt collectors?,まさかリアルに借金の催促だったの？,TSL
colorful,色彩に富んだ；華やかな,"色彩に富んだ,多彩な,はなやかな 
(情景・場面などが)絵画的な,変化に富む;(描写などが)生彩のある",Since PlayStation 2 came out the game software store shelves have bloomed riotously with colorful new titles.,プレステ２発売後、ゲームソフト売り場は百花撩乱状態だ。,TSL
comfortably,楽に,"『ここちよく』,気楽に,なに不自由なく",He lives comfortably.,彼は快適に過ごしている。,TSL
completion,完了,"完成,成就;完了,修了",The completion of the bronze statue did credit to the sculptor.,銅像の完成はその彫刻家に名誉となった。,TSL
cooler,冷却器；冷たい清涼飲料,"冷却装置;冷却器,クーラー・清涼飲料 
《俗》《the cooler》留置場",The weather is becoming cooler.,涼しくなってきた。,TSL
costly,高価な,"『高価な』;費用のかかる 
損害(犠牲)の多い",Parking fines are very costly.,駐車違反の罰金は高い。,TSL
dealership,販売権；販売代理店,(ある地域内の)商品販売権;その権利を持つ業者,"Additionally, large-scale development has proceeded along the National Route 9 on the south side of the station, and there are many big company stores such as Centum City Fukuchiyama (complex), Frespo Fukuchiyama (a shopping mall), UNIQLO (clothing shop), TSUTAYA (rental shop), Yofuku no Aoyama (ready-made men's wear), Kappa Zushi (Sushi restaurant), a Honda dealership (car dealer), a Yoshinoya restaurant, Tamahimeden (a wedding hall), McDonald's, SHIMAMURA (clothing shop), and Washoku Sato (restaurant).",ほかにも駅南の国道９号線沿いに大規模な開発センタムシティ福知山や、フレスポ福知山、ユニクロ、TSUTAYA、洋服の青山、かっぱ寿司、ホンダ、吉野家、玉姫殿、マクドナルド、しまむら、和食さとなど大手の店がたくさん並んでいる。,TSL
definite,"明確な, はっきりとした; 正確な","『一定の』,(明確に)限定された 
『明確な』,確実な,すでに確定した",Give me a definite answer.,明確な返事が欲しい。,TSL
delicious,おいしい,"『おいしい』 
香りのよい 
喜ばしい,快い",The lunch she brought to me was as delicious as rumoured.,運んできてくれたランチは噂に違わず旨かった。,TSL
dependable,信頼できる；頼みになる,"信頼できる,頼りになる,当てにできる(reliable)","This source is dependable and predictable, but more research is still needed in this area.",この熱源は安心して使えるし、将来の予測もたてられるが、この分野での研究はさらに必要である。,TSL
dislike,【動/他】を嫌う【名/U】嫌いなこと / 嫌悪,"…‘を'『嫌う』(進行形にできない) 
(…を)『嫌いなこと』,いや気,嫌悪《+『for』(『of』)+『名』(do『ing』)》",I dislike shopping every day but I must do so.,毎日買い物をするのは好きじゃないけどそうしなければならない。,TSL
enjoyable,楽しい,"楽しろい,愉快な,楽しめる",I had an enjoyable two weeks in London.,ロンドンで楽しく２週間を過ごした。,TSL
explanatory,説明的,"解説の,説明に役立つ",When I looked at the explanatory notes under the posts list I realized what was causing it.,投稿一覧の下の凡例を見て原因が分かりました。,TSL
finalize,完成させる；終了させる,"〈計画など〉‘を'完成する,仕上げる",let's finalize the proposal,提案を最終決定しよう,TSL
fitness,適合；健康,"(…を)適性,ふさわしさ《+『for』+『名』》 
体調の良いこと",The physical fitness courses are required for everyone.,体育の授業は全員が必修です。,TSL
flyer,チラシ,=flier,"During the off season in 1972 Toei and Tokyu sold the Toei Flyers to Nittaku Home Corporation because of the poor performance of the baseball team and the fact that the ""Kuroi Kiri Incident,"" a game-fixing scandal in professional baseball at that time, made it difficult for the team to attract large audiences.",成績不振と黒い霧事件(日本プロ野球)の余波で観客数が伸び悩んでいた東映フライヤーズを東急と共に1972年オフに日拓ホームに売却。,TSL
fortunately,幸運なことに,"『運よく』,幸いにも","I left home later than usual, but fortunately I was in time for the train.",普段よりも遅く家を出たけれど、幸いに汽車には間に合った。,TSL
gardener,植木屋,"『植木屋』,庭師,園丁",The gardener planted a rose tree in the middle of the garden.,庭師は庭の真ん中にバラの木を植えた。,TSL
generalization,一般化,"〈U〉一般化すること,概括すること 
〈C〉一般的な考え(説明,法則),一般論",I doubt these generalizations.,こういう一般化は疑わしい。,TSL
heater,発熱器；ヒーター,"(ストーブ・スチームなどの)暖房装置,ヒーター",An insulated soft-wood room and a good heater are the absolute necessities for a sauna.,軟木の絶縁された部屋およびよいヒーターはサウナのための絶対必要である。,TSL
homeless,ホームレス,家のない,She spoke for the homeless.,彼女は家のない人々の代弁をした。,TSL
honestly,正直,"正直に,公正に; 
《文全体を修飾し,通例文頭で用いて》正直なとこと,正直に用って;ほんとうに(really)","Honestly, I would also like to go.",本当は僕も行きたい。,TSL
hourly,毎時,"1時間の;1時間ごとの 
絶え間のない,たびたびの(frequent) 
1時間ごとに 
しばしば,絶えず","Who, for instance, has duly reflected upon all the consequences of the marvellous struggle for existence which is daily and hourly going on among living beings?
","例えば 誰 か 、 生物 の 間 で 日々 刻々 繰り広げ られ て いる 凄まじい 生存 闘争 の すべて の 結果 を 十分 に 考え抜い た 人 が い た でしょ う か 。
",TSL
hungry,空腹の,"『飢えた』,空腹の;空腹にさせる 
《補語にのみ用いて》(…を)熱望して,渇望して《+『after』(『for』)+『名』》 
(土地などが)不毛の,やせた",The point is that they are hungry.,要するに彼女たちは腹が減っているのだ。,TSL
icy,氷の；氷のような；氷の張った；冷淡な,"『氷の』,氷で覆われた 
『氷のように冷たい』 
冷淡な,よそよそしい",She gave me an icy look.,彼女は私を冷たい目で見た。,TSL
incomplete,不完全な,不完全な;未完成の,Carbon monoxide is a poisonous substance formed by the incomplete combustion of carbon compounds.,一酸化炭素とは炭素化合物の不完全燃焼で発生する有害物質です。,TSL
indoor,屋内,"『室内の』,『屋内の』","It was very cold last night, so we didn't go outside, but stayed indoors.",昨日はとても寒かった、だから私たちは外にでないで家にいました。,TSL
inexpensive,安価な,"安い,費用のかからない",I'd like the most inexpensive room you have for four nights.,一番安い部屋を１室、４泊お願いします。,TSL
inexperience,未経験,"経験のないこと,未熟,不慣れ","He is young and inexperienced, but quite enterprising.",彼は若くて未経験だがやる気満々だ。,TSL
internet,【名】インターネット,"【名】《The ~》インターネット
 (単にthe net, the Netともいう)",Among the Internet sites that publish information on education related businesses are those given below.,教育産業に関する情報を掲載したインターネットサイトには以下のようなものがあります。,TSL
lately,近頃,"『近ごろ』,最近",I haven't seen anything of Mr Kimura lately.,最近木村君に少しも会わない。,TSL
locally,場所の上から；局所的に,"地方的に,局部的に;近くに",a locally based business,地元密着型のビジネス,TSL
loudly,大声で,"『大声で』,『騒々しく』,声高に 
はでに,けばけばしく",I felt like singing loudly when the exam was over.,試験が終わった時、大声で歌いたい気がした。,TSL
machinery,機械,"《集合的に》《単数扱い》『機械』 
《集合的に》機械の部品;機械装置 
(社会・政治などの)機構,組織《+『of』+『名』》","In addition to the general curriculum there are tutorials in the essentials of machinery, training is also carried out for skills in and learning how to use the various types of machinery.",普通科目の他に機械についての基礎的な事柄を学習し、 各種の機械の使用法や技術を身につける実習などを行います。,TSL
managerial,経営者の,《名詞の前にのみ用いて》経営上の;経営者の,Bringing out the abilities of individuals holds the key to managerial success.,個人の持つ能力をどう引き出すかがマネジメント成功のカギを握ります,TSL
meaningful,"【形】《...にとって》有意義な,意義のある《to / for》；《人に》理解しやすい《to》","【形】《...にとって》有意義な,意義のある《to / for》
《人に》理解しやすい《to》",a meaningful explanation,意味のある説明,TSL
mileage,総マイル数；走行距離,"《時にa ~》(一定期時に走った)総マイル数 
《時にa ~》(一定量の燃料による)自動車走行マイル数 
《時にa ~》マイル当たりの費用 
《話》使用[量];利益",What is the fuel mileage of this car?,この車の燃費はどれくらいですか。,TSL
mislead,"【動/他】（人）を誤って道案内する；（人）を誤らせる,誤解させる","【動/他】〈人〉‘を'誤って道案内する 
〈人〉‘を'誤らせる,誤解させる","That it is enough if there is always somebody capable of answering them, so that nothing likely to mislead uninstructed persons remains unrefuted.
","また 、 それ に 答える 能力 の ある 人 が いつも い さえ すれ ば 、 教育 の ない 人 たち を 誤らせる よう な もの に は 反駁 せ ず に は おか ない ので 、 それ で 十分 だ と も 。
",TSL
mister,さん；だんな；あなた,"《M-》…『さん』,…氏,…様,…殿,…先生 
《話》《単独で呼び掛けとして用いて》あなた,君,だんな 
〈C〉…さんと呼ばれるだけの人,普通の人","""Now, then, mister,""
","「 な あ 、 ちょっと あんた 」
",TSL
nationwide,全国の,全国的な,The police have started a nationwide hunt for the criminal.,警察は犯人の全国的な捜索を開始した。,TSL
neat,【形】きちんと整った；小ぎれいな；きれい好きな；さっぱりした,"(見た目に)『きちんと整った』,小ぎれいな 
(人などが)きれい好きな;(服装などが)さっぱりした 
(やり方・話し方などが)手ぎわのよい 
《米話;現在はまれ》すばらしい,すてきな 
《話》(酒などが)水で割らない,ストレートの",There was a neat pile of books in the corner of the room.,部屋の隅に本がきちんと積み重ねられていた。,TSL
noisy,うるさい,"(人・声などが)『やかましい』,騒々しい,(場所が)騒音に満ちている",It's noisy next door.,隣の部屋がうるさいのです。,TSL
outdoor,アウトドア,"『戸外の』,野外の",It's a lot of fun playing outdoors.,野外で遊ぶ事はとても楽しい。,TSL
painter,画家,"『画家』 
ペンキ屋",Style is to the writer what color is to the painter.,文体が作家に持つ関係は、色彩が画家に対するのと同じである。,TSL
partial,"【形】一部分の,部分的な；不完全な；不公平な,偏った；《Aが》特に好きで《be ~ to A》","【形】(また『part』)『一部分の』,部分的な;不完全な 
不公平な,偏った 
《補語にのみ用いて》《Aが》特に好きで《be ~ to A》",She is in partial agreement with this decision.,彼女はこの決定に部分的に同意している。,TSL
partially,部分的に,"部分的に,一部分 
不公平に,偏って","Version 1.0 of this document was prepared December 10, 2003 to partially fulfill the requirements for MIT 6.806: Ethics and Law on the Electronic Frontier,",本 文書 の バージョン 1 . 0 は 、 MIT 講義 6 . 806 : 「 電子 フロンティア における 倫理 と 法 」 の 修了 要件 を 部分 的 に 満たす べく 2003 年 12 月 10 日 に 書か れ た 。,TSL
payable,支払う必要のある；支払い可能な；支払われる,"(金を払っても)採算のとれる 
《補語にのみ用いて》(…に)支払われるべき《+『to』+『名』》",Checks should be made payable to the ABC Company.,小切手はＡＢＣ社あてに支払われるように振り出してください。,TSL
photographer,写真家,"写真をとる人,(特にプロの)写真家",She's a good photographer because she's so observant.,彼女は観察力が鋭いので写真家として優れている。,TSL
photography,写真術,写真術,"I'm introducing some pictures I took, dabbling in photography, along with my diary.",下手の横好きで撮影している写真を日記とともに紹介しています。,TSL
placement,配置,"置くこと,配置 
職業紹介 
(アメリカンフットボールで)プレーキックのためボールを地に置くこと",the agency provided placement services,その仲介業者は就職斡旋の業務を行った,TSL
planner,プランナー,"計画者,立案者","At this point in time, it was known by Korean military planners that the most powerful inhabitants of Tsushima were away on voyages to Ming China and elsewhere, and moreover as the invasion was launched they ordered the simultaneous internment of all Japanese merchants living and operating within Korea, revealing how carefully they had planned this assault to take advantage of the weakness of Tsushima's defensive preparations and target the general population (not only the Wako).
","この時期は対馬の有力者が明などに渡航し不在であることを知り、また同時に朝鮮国内の在留商人らを一斉に抑留するなど、防備の弱体に乗じ一般民衆を標的にした周到な計画であったことが知られる。
",TSL
poorly,【副】貧しく、不完全に　【形】健康がすぐれない,"『貧しく』,乏しく,不十分に 
『へたに』,まずく 
健康がすぐれない,病身な","Thanks to a cold summer, beer has sold poorly.",冷夏のおかげで、ビールの売れ行きはよくなかった。,TSL
postage,送料,"『郵便料金』,郵送料",The price includes postage charges.,その値段は郵便料金を含みます。,TSL
postal,"郵便(局)の, 郵便による",『郵便の』,Postal services are a government monopoly.,郵政事業は政府の独占事業です。,TSL
pottery,陶器,"〈U〉製陶術,陶器製造 
〈U〉《集合的に》陶器類 
〈C〉陶器製造所",Saturday is the pottery class I've been attending since last year.,土曜日、去年から通い始めた陶芸教室。,TSL
presenter,発表者；賞の授与を行う人；司会者,テレビ(ラジオ)ショーの司会者,"Koji (a presenter of poems) says ""at the beginning of the New Year, as usual, poems on the theme of - are presented on the orders of the Emperor,"" and this starts the recitation of poems.
","講師が「年の始めに、同じく、（お題）ということを仰せ事に依りて、詠める歌」と言い、披講が始まる。
",TSL
probable,"【形】ありそうな, 起こりそうな【名/C】起こりそうなこと / 何かしそうな人 / 予想される勝利者","『ありそうな』,起こりそうな 
起こりそうなこと;何かしそうな人,予想される勝利者,有望な候補者",It is probable that he is ill.,彼は病気なのかもしれない。,TSL
programmer,プログラマー,プログラム(番組)を作る人;(コンピューターの)プログラマー,Is she a computer programmer?,彼女はコンピュータープログラマーですか。,TSL
protective,"保護する, 防護用の","保護の,保護する;(…を)保護する《+『toward』+『名』》","Birds, for instance, have a special protective device.",例えば、小鳥は特別な防御装置を備えている。,TSL
quarterly,"【形】年4回の,3か月ごとの 【副】年4回に,3か月ごとに 【名/C】年4回の刊行物,季刊誌","【形】年4回の,3か月ごとの 
【副】年4回[に],3か月ごとに 
【名/C】年4回の刊行物,季刊誌",A quarterly growth of 1.2% means an annual growth rate of 4.8%.,四半期１．２％の成長は年率４．９％の成長率を意味する。,TSL
rainy,雨の,"『雨の』,雨降りの;雨の多い 
雨にぬれた;雨模様の","As a result, we play ball inside on rainy days.",結果、雨の日は部屋の中でボール遊びをしています。,TSL
realistic,現実的,"『現実主義の』,現実的(実際的)な 
写実的な,写実主義の 
実在論の",The long discussion reached a realistic conclusion.,長い議論は現実的な結論に煮詰まった。,TSL
reconsider,考え直す,"…‘を'再考する,考え直す",Conflicting reports prompted the director to reconsider her position.,矛盾する報告を受けて、その役員は自分の立場を考え直した。,TSL
renew,更新する；再開する,"…‘を'『新しくする』 
〈若さなど〉‘を'取り戻す,回復する 
…‘を'『再び始める』 
…‘を'継続する,更新する,〈契約書など〉‘を'書き替える 
…‘を'新しいのと取り替える…‘を'補充する",Her words renewed my courage.,彼女の言葉で私は勇気をあらたにした。,TSL
renewal,更新；再開；書き換え,"〈U〉(…を)新しく直すこと,(…の)更新;復興;再生《+『of』+『名』》 
〈C〉新しくされた物,更新された物(証明書など)","When they stopped suddenly to catch their breath for a fiercer renewal of the fight, 
","彼ら は 、 いよいよ 激しく ぶつかり 合お う と 、 息 を 止め て 睨み合っ た 。
",TSL
rental,賃貸料；賃貸のできる,"〈C〉賃貸料,地代,家賃 
〈U〉(…を)借りる(貸す)こと,(…の)家賃,賃借《+『of』+『名』》 
〈C〉《米》賃貸するもの(家・土地・車など) 
賃貸の",We have 5 different server rental plans for customers.,お客様に５つの有料レンタルサーバープランをご用意しております,TSL
reopen,再開する,"…‘を'再び開ける 
…‘を'再び始める 
再び開く,再び始まる",They reopened the theater,彼らは劇場を再開した,TSL
rewrite,書き直す；改正する,"…‘を'『書き直す』 
《米》〈記者からの報告〉‘を'新聞比事に書き直す 
書き直されたもの 
《米》(書き直された)記事","So I wrote a LISP interpreter and put it in in place of MOCKLISP and in the process I found that I had to rewrite many of the editor's internal data structures
","それで LISP インタープリタ を 書い て 、 MOCKLISP を すげかえ て 、 その 過程 で 、 エディタ の 内部 データ 構造 を 書き直さ なきゃ なら ない こと も わかっ た 。
",TSL
rider,乗る人；添書き；付加条件,"(馬などに)『乗る人』,乗り手 
(契約書などの)追加条項,補足条項",the thrown rider got back on his horse,投げられた乗り手は、彼の馬の上で戻った,TSL
rose,バラ；バラ色,"〈C〉『バラの花』 
〈C〉バラの木 
〈U〉バラ色,淡紅色 
〈C〉(形が)バラに似た物:(じょうろの)散水口;(リボンなどの)バラ結び;バラ模様(飾り) 
『バラ色の』 
バラの","""I was just admiring your roses. They're absolutely gorgeous."" ""Oh, I'm flattered. Thank you.""",「ついお宅のバラに見とれてしまってまして。本当に華やかですこと」「まあ、お上手ねえ。それはどうも」,TSL
runner,走る人；運び屋；逃亡者,"『走る人』,競桑者;(野球の)走者 
(昔の)使者,飛脚;使い走りする人;集金人 
(スケート・そりの)滑走部,すべり 
(廊下・階段などに敷く)細長いじゅうたん 
(細長い)テーブルセンター 
(イチゴなどの)匍匐(ほふく)枝,つる",The runners rounded the corner into the homestretch.,ランナーはコーナーを回ってホームストレッチへ入った。,TSL
safely,安全に,"『安全に』,無事に 
だいじょうぶ,さしつかえなく",Okay. Drive safely.,分かりました。気をつけて運転してください。,TSL
seller,売り手,"売る人,売り手 
《good,bad,poorなどの形容詞と共に》売れるもの","After considerable argument, the buyer and the seller finally came to terms.",長々と協議した末に、売り手と買い手は結局折り合った。,TSL
sender,送信者,"発送人,送り主,差し出し人 
送信機,送話機","A mailbag from a single sender addressed to one recipient, as the name suggests, is for delivering a bag of printed matter.",同一差出人から同一受取人に宛てて郵袋という、文字通り袋に印刷物を入れて郵送します。,TSL
shipment,出荷,"〈U〉船積み,積み込み,荷送り 
〈C〉積み荷;積み荷量",Please disregard this notice if your shipment has already been made.,もしも、すでに出荷されているのでしたらこのメールは無視してください。,TSL
shopper,【名/C】買い物客 / ちらし,"【名/C】買物客
広告ビラ,ちらし",Shoppers crowded the streets.,買い物客で通りは混んでいた。,TSL
shortage,不足,"『不足』,欠乏;〈C〉不足高",With a shortage of midwives added to that of obstetricians it has become clear all over again that our country's obstetric care is in an extremely grave situation.,産科医に加え、助産師も不足と我が国の産科医療が極めて深刻な状況にあることが改めて浮き彫りになった。,TSL
shorten,短くする；減じる；弱める,"…‘を'『短くする』,縮める 
〈ケーキなど〉‘に'ショートニングを加えてさくさくさせる 
短くなる",High operating temperatures shorten lubricant life.,作動温度が高いと、潤滑剤の寿命は短くなる。,TSL
simplify,簡素化する,"…‘を'簡単にする,平易にする,単純にする","""this marriage rather simplifies matters.
","この 結婚 が 事 を 簡単 に し た 。
",TSL
sleepy,眠い；眠そうな；活気のない,"『眠い』;眠そうな 
眠ったような,活気のない 
(ナシ・バナナなどが)うれ過ぎた","Since I stayed up late, I'm very sleepy.",夜更かしをしたので、とても眠いんだ。,TSL
snowy,"雪に覆われた, 雪の降る,雪のように白い","『雪の』,『雪の降る』 
雪におおわれた,雪深い 
雪のように白い",If you don't have an accident on the snowy roads I think you should be able to get back safely.,雪道でアクシデントがなかったら、無事に帰って来れると思います。,TSL
sometime,いつか,"(未来の)『いつか』;そのうち 
(過去の)あるとき;以前 
かつての,以前の(former)",She sometimes mixes up fancies with realities.,彼女はときに空想と現実を混同することがある。,TSL
spacious,広々とした,"(部屋・家などが)広い,ゆったりとした 
(空・海などの大苦間が)広大な",The room is spacious and light.,その部屋は広くて明るい。,TSL
specially,"【副】特に,わざわざ；特別に；並外れて","(比較変化なし)『特に』,わざわざ 
(普通ではなく)特別に 
並みはずれて,きわだって",It's equipped with a specially-developed server management system.,それが独自開発のサーバー管理システムを搭載しています,TSL
specialty,専門,"専門,専攻 
特色,特性 
特製品,特別品",Do you know a good specialty store dealing in herbs?,ハーブの専門店を聞いたことがありませんか。,TSL
sticker,ステッカー；粘り強い人；突く人；難問,"ステッカー,のり付きラベル 
《米》いが;とげ 
《話》粘り強い人","Recently, easily-made sticker type senjafuda have increased and are used other than for religious purposes such as for business cards and some kind of amulet stuck to 'bachi' (drumsticks) of a drum master to inspire himself when he performs.
","最近では、手軽に作れるシール形式の千社札が急増しており、宗教的な用途以外にも、名札の代わりにしたり、気合を込めるの意味で太鼓の達人のプレイに使用する自作の撥に貼り付けたりと、様々な用途が生み出されている。
",TSL
sunny,日のよく照る；日のよく当たる；明るい,"(天候・場所などが)『日のよくさす(当たる)』 
雲のない 
(物事が)明るい,陽気な,快活な",Tomorrow's weather should be sunny with occasional rain.,明日の天気は晴れ時々雨でしょう。,TSL
sunshine,日光,"『日光』 
日なた 
(物事の)『明るさ』,陽気,快活",A meal without wine is like a day without sunshine.,葡萄酒のない食事なんて太陽の輝きのない日のようなものだ。,TSL
tablecloth,テーブルクロス,"テーブル掛け,テーブルクロス",We placed a white tablecloth over the table.,私たちはテーブルの上に白いテーブルクロスを置いた。,TSL
taker,【名/C】応じる人；受ける人；購読者,"【名/C】《通例~s》応じる人；受ける人；購読者
《risk-takerなど複合語で》受ける人；取る人
《新聞などの》購読者","At that time, Ieyasu was a frequent taker of medication, and he pointed out their importance not only for himself but also for higher-ranking samurai, and court nobles, etc.
","当時、家康は相当な薬愛用家であり、自分のみならず、高級武士や公家等にその大切さを説いた。
",TSL
tasty,おいしい,"(特に塩味ず)おいしい,味が良い 
《話》(特に情報が)おもしろい,興味がある",Nothing is so tasty as the dish you make.,君が作る料理ほどおいしいものはない。,TSL
thirsty,喉が渇いた,"(人が)『のどの渇いた』 
(物事が)のどを渇かせる 
(土地・植物などが)乾いた 
《補語にのみ用いて》《be thirsty for+名》…を『渇望(熱望)している』,しきりに求めている",He is thirsty for fame.,彼は名声を強く望んでいる。,TSL
timely,タイミングの良い,時宜を得た,the timely filing of his income tax return,彼の所得税申告の適時のファイリング,TSL
timer,【名/C】時間記録係/秒時計 / タイマー,"(作業・競技などの)時間記録係,計時員 
秒時計,ストップウォッチ 
ある決められた時間に機械,器具などが動くように制御する装置,タイマー",The button battery in the PC's internal timer has gone flat.,PC内部のタイマー用ボタン電池が切れた。,TSL
trainee,研修生,"訓練(特に職業訓練)を受けている人,徒弟,見習い 
《米》(軍事教練を受ける)新兵","At first, the trainees were awkward in his company.",最初に、訓練生達は彼が一緒だったので落着かなかった。,TSL
trainer,トレーナー,"訓練する人,仕込む人,(運動選手の)トレーナー,調教師",Suddenly the lion came at his trainer.,突然そのライオンは調教師に襲いかかった。,TSL
traveler,旅行者,"『旅行者』,旅人 
(また traveling salesman,《英》travelling salesman)巡回販売員,外交員,注文取り",The travelers made haste as evening drew near.,夕方が近づいたので旅人達は急いだ。,TSL
uncomfortable,不快な,"(物が)『心地よくない』 
(人が)『不愉快に感じる』","As a result, people have got so used to being paid this way that they're uncomfortable with any other.",その結果、人々はこの支給方法にすっかり慣れてしまい、ほかの方法では落ち着かなくなりました。,TSL
unemployed,失業者,"仕事のない,失業した 
利用してない,遊ばせてある 
失業者","Because he was unemployed, their wedlock failed.",彼が失業したので、彼らの結婚生活は破綻した。,TSL
unexpected,予想外,"『予期しない』,思いがけない",Some unexpected difficulties have arisen.,予期せぬ困難が起こった。,TSL
unhappy,"【形】悲しい,気の滅入る；不幸な,不運な,みじめな；適切でない,まずい","【形】悲しい,気の滅入る 
(物事が)不幸な,不運な,みじめな 
(物事が)適切でない,適当でない,まずい",I inferred from our conversation that he was unhappy with his job.,彼との会話から彼が仕事に満足していないと私は推論した。,TSL
unload,降ろす；売り払う；(カメラ・銃)から弾丸やフィルムを抜く,"(…から)〈荷・乗客〉‘を'『降ろす』《+名+from+名》 
〈船.車など〉‘の'積み荷を降ろす 
〈銃.大砲など〉‘から'弾丸を抜く 
(また《英》off-load)〈悩みなど〉‘を'口にする;(人)〈悩みなど〉‘を'打ち明ける《+名+to(on)+名〈人〉》 
《話》〈不用品など〉'を'処分する 
〈船などが〉積み荷を降ろす",Can I unload the high speed film?,高感度フィルムは出してもいいですか。,TSL
unnecessary,【形】不要な,"『必要のない』,無用の,よけいな",It is very important to tell the necessary from the unnecessary.,必要なものと必要でないものを見分けることがきわめて重要である。,TSL
unpaid,未払い,"未払いの,未納の 
無給の,無報酬の",My telephone service was cut off because of unpaid bills.,料金滞納で電話を止められた。,TSL
